id	type_id	title	description	location_x	location_y	ratio	due	creator_id	background_class	component_picture_url	created_at	updated_at	privacy_id	order	status
1	2	cute 1	cutee	71	126	177	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-1-sm.png	0000-00-00 00:00:00	3/25/2017 7:22	0	0	0
2	2	cute 2	cutee	62	81	131	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-2-sm.png	0000-00-00 00:00:00	3/25/2017 7:23	0	0	0
3	2	cute 3	cutee	62	67	108	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-3-sm.png	0000-00-00 00:00:00	3/25/2017 7:21	0	0	0
4	2	cute 4	cutee	58	39	67	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-4-sm.png	0000-00-00 00:00:00	3/24/2017 10:57	0	0	0
5	2	cute 5	cutee	18	15	84	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-5-sm.png	0000-00-00 00:00:00	3/24/2017 10:57	0	0	0
6	2	cute 6	cutee	53	46	85	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-6-sm.png	0000-00-00 00:00:00	3/24/2017 10:58	0	0	0
7	2	cute 7	cutee	38	37	99	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-7-sm.png	0000-00-00 00:00:00	3/24/2017 22:20	0	0	0
8	2	cute 8	cutee	53	44	83	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-8-sm.png	0000-00-00 00:00:00	3/24/2017 22:18	0	0	0
9	2	cute 1	cutee	38	65	170	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-9-sm.png	0000-00-00 00:00:00	3/25/2017 7:22	0	0	0
10	2	cute 2	cutee	92	132	143	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-10-sm.png	0000-00-00 00:00:00	3/25/2017 2:17	0	0	0
11	2	cute 3	cutee	47	46	98	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-11-sm.png	0000-00-00 00:00:00	3/24/2017 10:57	0	0	0
12	2	cute 4	cutee	66	66	99	0000-00-00 00:00:00	1	ct-grass-1	cat/cat-1-1-1-12-sm.png	0000-00-00 00:00:00	3/24/2017 10:58	0	0	0
